#separator:tab
#html:false
#tags column:3
el calendario de eventos	calendar of events	Contrasena::lessons::u1_v1 Contrasena::sections::los_perfiles	
la cronología	timeline	Contrasena::lessons::u1_v1 Contrasena::sections::los_perfiles	
el estado	status	Contrasena::lessons::u1_v1 Contrasena::sections::los_perfiles	
la foto / la fotografía	picture/photograph	Contrasena::lessons::u1_v1 Contrasena::sections::los_perfiles	
el perfil	profile	Contrasena::lessons::u1_v1 Contrasena::sections::los_perfiles	
la red social	the social network	Contrasena::lessons::u1_v1 Contrasena::sections::los_perfiles	
el video	video	Contrasena::lessons::u1_v1 Contrasena::sections::los_perfiles	
actualizar	to update	Contrasena::lessons::u1_v1 Contrasena::sections::las_acciones	
to create	crear	Contrasena::lessons::u1_v1 Contrasena::sections::las_acciones	
editar	to edit	Contrasena::lessons::u1_v1 Contrasena::sections::las_acciones	
mandar un mensaje / mandar un mensaje de texto	to send a message / to send a text message	Contrasena::lessons::u1_v1 Contrasena::sections::las_acciones	
el apellido / los apellidos	last name / last names	Contrasena::lessons::u1_v1 Contrasena::sections::la_informacion_basica	
la dirección de correo electrónico / el e-mail	email address	Contrasena::lessons::u1_v1 Contrasena::sections::la_informacion_basica	
age	la edad	Contrasena::lessons::u1_v1 Contrasena::sections::la_informacion_basica	
el nombre	first name	Contrasena::lessons::u1_v1 Contrasena::sections::la_informacion_basica	
el teléfono / el número de teléfono	telephone / telephone number	Contrasena::lessons::u1_v1 Contrasena::sections::la_informacion_basica	
la ciudad	city	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
el cumpleaños	birthday	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
la escuela secundaria	high school	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
el estado	state	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
birthdate	la fecha de nacimiento	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
el país	country	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
work	el trabajo	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
university/college	la universidad	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
YO SOY…	I AM…	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
activo/activa	active	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
atlético/atlética	athletic	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
aventurero/aventurera	adventurous	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
cómico/cómica	funny, comical	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
estudioso/estudiosa	studious	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
generoso/generosa	generous	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
inteligente	intelligent	Contrasena::lessons::u1_v1 Contrasena::sections::la_biografia	
